ApplicationID,JobID,ApplicantName,Status,HiringCost,ExperienceYears,HighestDegree,University,RejectionReason,ApplicationDate
1,10,John Bradley,Rejected,0,12,Bachelor,Perkins-Hall,Salary,2023-07-07
2,22,Sandra Donovan,Accepted,16538877,8,Master,"Gallagher, Ross and Lee",,2022-03-30
3,60,Kristin Gentry,Shortlisted,0,2,Associate,"Brown, Mack and Dixon",,2022-01-15
4,52,Alyssa Allen,Accepted,10596601,12,Master,Collins and Sons,,2022-11-14
5,40,Dennis Green,Processed,0,12,Bachelor,Wilson-Rodriguez,,2022-06-29
6,34,Michael Alvarado,Rejected,0,3,Bachelor,Harrington-Castillo,,2022-12-21
7,25,Jonathan Arnold,Shortlisted,0,13,Bachelor,"Williams, Peck and Garza",,2023-03-20
8,24,Danielle Lozano,Shortlisted,0,20,Associate,"Jones, Collins and Clark",,2023-04-22
9,76,Debra Aguirre,Rejected,0,15,Bachelor,Jordan-Jones,,2023-11-06
10,7,Ashley Weaver,Shortlisted,0,11,High School,Anderson Group,,2022-07-11
11,85,Dr. Sean Smith,Shortlisted,0,1,High School,Lopez-Castaneda,,2023-03-30
12,44,Joseph Lewis,Rejected,0,16,PhD,Gonzalez PLC,Culture,2023-04-18
13,27,Stephanie Hernandez,Shortlisted,0,3,Master,Banks Ltd,,2023-07-12
14,91,Maria Wall,Shortlisted,0,8,Bachelor,"Garrison, Medina and Rodriguez",,2023-12-07
15,49,Juan Hill,Rejected,0,7,PhD,Miles Ltd,Technical,2023-04-23
16,10,Victoria Nguyen,Processed,0,4,Master,Watson and Sons,,2022-09-16
17,58,Allison Moore,Rejected,0,6,Associate,Sosa Inc,Culture,2023-12-12
18,52,Dr. Carol Brown MD,Accepted,15656962,5,Master,Oliver Group,,2022-07-20
19,2,Monica Nichols,Accepted,19908576,12,Master,Shepherd-Hunter,,2023-09-26
20,49,Nicole Briggs,Accepted,18442500,1,Associate,Jones Inc,,2023-08-06
21,69,Krista Wilson,Processed,0,3,PhD,Roberts-Matthews,,2023-04-18
22,27,Laura Johnson,Rejected,0,13,Bachelor,Marshall-Hale,Technical,2022-08-26
23,33,Charles Morris,Shortlisted,0,6,High School,Oconnor-Vaughan,,2022-04-19
24,60,Brandon Wallace,Rejected,0,10,Bachelor,Smith Inc,Technical,2023-02-10
25,28,Amanda Reid,Rejected,0,10,Master,"Knight, Bean and Smith",Salary,2023-01-18
26,8,Jessica Oconnell,Accepted,14446081,17,Bachelor,Garcia PLC,,2023-06-15
27,2,Joseph Davis,Rejected,0,12,Bachelor,"Anderson, Mccoy and Simpson",Technical,2023-10-10
28,90,Jose Wise,Rejected,0,19,Master,Oliver and Sons,Technical,2023-02-11
29,56,Abigail Mora,Processed,0,17,High School,Ward-King,,2022-08-03
30,77,Jeremy Hurley,Accepted,17205303,20,Bachelor,Khan PLC,,2022-09-07
31,30,Robert Garner,Accepted,12513635,2,PhD,Levine-Barton,,2023-03-27
32,9,Cheryl Lewis,Rejected,0,13,PhD,"Oconnor, Reid and Tucker",,2022-12-09
